position,label,type,image
Point(-116.40094 36.641496),Amargosa Valley (Demo),stop,
Point(-116.784582 36.868446),Nye County Airport (Demo),stop,
Point(-116.81797 36.88108),Bullfrog (Demo),stop,
Point(-116.768242 36.909489),Doing Ave / D Ave N (Demo),stop,
Point(-116.76218 36.905697),E Main St / S Irving St (Demo),stop,
Point(-117.133162 36.425288),Furnace Creek Resort (Demo),stop,
Point(-116.76821 36.914893),North Ave / D Ave N (Demo),stop,
Point(-116.761472 36.914944),North Ave / N A Ave (Demo),stop,
Point(-116.751677 36.915682),Stagecoach Hotel & Casino (Demo),stop,
Point(-116.761497 36.905906),Beatty Museum,landmark,http://commons.wikimedia.org/wiki/Special:FilePath/Beatty%20NV%20Museum.jpg
Point(-116.759 36.915),Beatty Museum,landmark,
Point(-116.400277777 36.643888888),Amargosa Valley,landmark,http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Dune%2C%20Amargosa%20Valley.jpg
Point(-116.400277777 36.643888888),Azrael Ridge,landmark,
Point(-116.398 36.6425),KPKK,landmark,
Point(-116.399 36.642333333),KRZQ,landmark,
Point(-116.763487 36.90843),Beatty Library District,landmark,
Point(-116.759166666 36.916666666),Oasis Valley,landmark,
